Designator,Mid X,Mid Y,Layer,Rotation
C1,58.0000mm,-131.0000mm,Top,0
C2,300.0000mm,-124.0000mm,Top,0
C3,164.0000mm,-114.0000mm,Top,0
C4,80.0000mm,-108.0000mm,Top,0
C5,234.0000mm,-136.0000mm,Top,0
D1,51.0000mm,-86.0000mm,Top,0
D2,85.0000mm,-86.0000mm,Top,0
D3,119.0000mm,-86.0000mm,Top,0
D4,153.0000mm,-86.0000mm,Top,0
D5,58.0000mm,-122.0000mm,Top,0
D6,187.0000mm,-86.0000mm,Top,0
D7,221.0000mm,-86.0000mm,Top,0
D8,212.0000mm,-140.0000mm,Top,0
F1,266.0000mm,-44.0000mm,Top,-90
J1,50.0000mm,-131.0000mm,Top,90
J2,48.0000mm,-116.0000mm,Top,-90
J3,52.9200mm,-50.0000mm,Top,0
J4,86.9200mm,-50.0000mm,Top,0
J5,120.9200mm,-50.0000mm,Top,0
J6,154.9200mm,-50.0000mm,Top,0
J7,131.0000mm,-140.0000mm,Top,0
J8,145.0000mm,-140.0000mm,Top,0
J9,159.0000mm,-140.0000mm,Top,0
J10,175.0000mm,-127.0000mm,Top,0
J11,78.0000mm,-140.0000mm,Top,0
J12,78.0000mm,-124.0000mm,Top,0
J13,94.0000mm,-129.0000mm,Top,0
J14,74.0000mm,-106.0000mm,Top,0
J15,302.0000mm,-110.0000mm,Top,0
J16,302.0000mm,-132.0000mm,Top,0
J17,312.0000mm,-120.0000mm,Top,0
J18,56.0000mm,-144.0000mm,Top,0
J19,286.0000mm,-151.0000mm,Top,0
J20,298.0000mm,-142.0000mm,Top,0
J21,43.0000mm,-80.0000mm,Top,0
J22,47.0000mm,-90.0000mm,Top,0
J23,188.9200mm,-50.0000mm,Top,0
J24,222.9200mm,-50.0000mm,Top,0
J25,272.0000mm,-151.0000mm,Top,0
J26,216.0000mm,-151.0000mm,Top,0
J27,250.0000mm,-46.0000mm,Top,0
J28,66.0000mm,-106.0000mm,Top,0
J29,110.0000mm,-153.0000mm,Top,0
J30,123.0000mm,-153.0000mm,Top,0
J31,140.0000mm,-151.0000mm,Top,0
J32,159.0000mm,-151.0000mm,Top,0
J33,178.0000mm,-151.0000mm,Top,0
J34,197.0000mm,-151.0000mm,Top,0
J35,204.0000mm,-124.0000mm,Top,0
J36,244.0000mm,-151.0000mm,Top,0
J37,258.0000mm,-151.0000mm,Top,0
JP1,242.0000mm,-106.0000mm,Top,0
JP2,186.0000mm,-124.0000mm,Top,0
JP3,191.0000mm,-124.0000mm,Top,0
JP4,196.0000mm,-124.0000mm,Top,0
K1,58.0000mm,-78.0000mm,Top,90
K2,92.0000mm,-78.0000mm,Top,90
K3,126.0000mm,-78.0000mm,Top,90
K4,160.0000mm,-78.0000mm,Top,90
K5,194.0000mm,-78.0000mm,Top,90
K6,228.0000mm,-78.0000mm,Top,90
LED1,67.0000mm,-90.0000mm,Top,90
LED2,101.0000mm,-90.0000mm,Top,90
LED3,135.0000mm,-90.0000mm,Top,90
LED4,169.0000mm,-90.0000mm,Top,90
LED5,72.0000mm,-131.0000mm,Top,90
LED6,203.0000mm,-90.0000mm,Top,90
LED7,237.0000mm,-90.0000mm,Top,90
Q1,65.0000mm,-96.0000mm,Top,0
Q2,99.0000mm,-96.0000mm,Top,0
Q3,133.0000mm,-96.0000mm,Top,0
Q4,167.0000mm,-96.0000mm,Top,0
Q5,201.0000mm,-96.0000mm,Top,0
Q6,235.0000mm,-96.0000mm,Top,0
Q7,232.0000mm,-106.0000mm,Top,0
Q8,218.0000mm,-106.0000mm,Top,0
Q9,218.0000mm,-113.0000mm,Top,0
Q10,228.0000mm,-113.0000mm,Top,0
Q11,232.0000mm,-146.0000mm,Top,0
R1,51.0000mm,-91.0000mm,Top,0
R2,85.0000mm,-91.0000mm,Top,0
R3,119.0000mm,-91.0000mm,Top,0
R4,153.0000mm,-91.0000mm,Top,0
R5,51.0000mm,-96.0000mm,Top,0
R6,85.0000mm,-96.0000mm,Top,0
R7,119.0000mm,-96.0000mm,Top,0
R8,153.0000mm,-96.0000mm,Top,0
R9,51.0000mm,-100.0000mm,Top,0
R10,85.0000mm,-100.0000mm,Top,0
R11,119.0000mm,-100.0000mm,Top,0
R12,153.0000mm,-100.0000mm,Top,0
R13,58.0000mm,-138.0000mm,Top,0
R14,131.0000mm,-129.0000mm,Top,0
R15,145.0000mm,-129.0000mm,Top,0
R16,159.0000mm,-129.0000mm,Top,0
R20,284.0000mm,-106.0000mm,Top,0
R21,284.0000mm,-114.0000mm,Top,0
R23,170.0000mm,-120.0000mm,Top,0
R24,78.0000mm,-132.0000mm,Top,0
R25,130.0000mm,-120.0000mm,Top,0
R26,130.0000mm,-124.0000mm,Top,0
R28,187.0000mm,-91.0000mm,Top,0
R29,187.0000mm,-96.0000mm,Top,0
R30,187.0000mm,-100.0000mm,Top,0
R31,221.0000mm,-91.0000mm,Top,0
R32,221.0000mm,-96.0000mm,Top,0
R33,221.0000mm,-100.0000mm,Top,0
R34,186.0000mm,-106.0000mm,Top,0
R35,202.0000mm,-106.0000mm,Top,0
R36,186.0000mm,-112.0000mm,Top,0
R37,202.0000mm,-112.0000mm,Top,0
R40,234.0000mm,-128.0000mm,Top,90
RV1,253.0000mm,-62.0000mm,Top,0
